MCC,Description
5532,AUTOMOTIVE TIRE STORES
5533,"AUTOMOTIVE PARTS, ACCESSORIES STORES"
5541,GAS/SERVICE STATIONS WITH/WITHOUT ANCILLARY SERVICES
5542,AUTOMATED FUEL DISPENSERS
5551,BOAT DEALERS
5561,"RECREATIONAL & UTILITY TRAILERS, CAMPER DEALERS"
5571,MOTORCYCLE DEALERS
5592,MOTOR HOME DEALERS
5598,SNOWMOBILE DEALERS
5599,AUTOMOTIVE DEALERS
5611,MEN'S AND/OR BOYS' CLOTHING AND ACCESSORIES STORES
5621,WOMEN'S READY-TO-WEAR STORES
5631,WOMEN'S ACCESSORY AND SPECIALTY SHOPS
5641,CHILDREN'S AND INFANTS' WEAR STORES
5651,FAMILY CLOTHING STORES
5655,RIDING OR SPORTS APPAREL STORES
5661,SHOE STORES
5681,FURRIERS AND FUR SHOPS
5691,MEN'S AND WOMEN'S CLOTHING STORES
5697,"TAILORS, SEAMSTRESSES, MENDING & ALTERATIONS"
5698,WIG AND TOUPEE STORES
5699,APPAREL AND ACCESSORY SHOPS -- MISCELLANEOUS
5712,"FURNITURE, HOME FURNISHINGS & EQUIP STORES EXCL APPLIANCES"
5713,FLOOR COVERING STORES
5714,"DRAPERY, WINDOWCOVERING, AND UPHOLSTERY STORES"
5715,ALCOHOLIC BEVERAGE WHOLESALERS
5718,"FIREPLACES, FIREPLACE SCREENS AND ACCESSORIES STORES"
5719,HOME FURNISHING SPECIALTY STORES -- MISCELLANEOUS
5722,APPLIANCE STORES (NEC) OR HOUSEHOLD APPLIANCE STORES
5732,ELECTRONIC SALES
5733,"MUSIC STORES, MUSICAL INSTRUMENTS, PIANOS, SHEET MUSIC"
5734,COMPUTER SOFTWARE STORES
5735,RECORD SHOPS
5811,CATERERS
5812,RESTAURANTS OR EATING PLACES
5813,ALCOHOLIC BEVERAGES DRINKING PLACES - BARS NIGHTCLUBS ETC
5814,FAST FOOD RESTAURANTS
5815,"DIGITAL GOODS MEDIA: BOOKS, MOVIES, MUSIC"
5816,DIGITAL GOODS: GAMES
5817,DIGITAL GOODS: APPLICATIONS (EXCLUDES GAMES)
5818,LARGE DIGITAL GOODS MERCHANT
5912,PHARMCIES OR DRUG STORES
5921,"LIQUOR, WINE, PACKAGE OR BEER STORES"
5931,SECONDHAND OR USED MERCHANDISE STORES
5932,ANTIQUE SHOPS
5933,PAWN SHOPS
5935,WRECKING & SALVAGE YARDS
5937,ANTIQUE REPRODUCTIONS
5940,BICYCLE SHOPS -- SALES AND SERVICE
